timestamp_utc,open,high,low,close
2018-05-31 21:00:00,1.32912,1.32950,1.32909,1.32937
2018-05-31 22:00:00,1.32931,1.32943,1.32845,1.32906
2018-05-31 23:00:00,1.32904,1.33002,1.32887,1.32990
2018-06-01 00:00:00,1.32989,1.32989,1.32879,1.32888
2018-06-01 01:00:00,1.32886,1.32902,1.32826,1.32898
2018-06-01 02:00:00,1.32900,1.32923,1.32777,1.32811
2018-06-01 03:00:00,1.32811,1.32836,1.32674,1.32689
2018-06-01 04:00:00,1.32686,1.32686,1.32569,1.32626
2018-06-01 05:00:00,1.32627,1.32636,1.32595,1.32621
2018-06-01 06:00:00,1.32618,1.32733,1.32533,1.32733
2018-06-01 07:00:00,1.32731,1.32818,1.32650,1.32771
2018-06-01 08:00:00,1.32775,1.32952,1.32683,1.32853
2018-06-01 09:00:00,1.32853,1.32946,1.32767,1.32945
2018-06-01 10:00:00,1.32946,1.33084,1.32887,1.33022
2018-06-01 11:00:00,1.33020,1.33290,1.33020,1.33231
2018-06-01 12:00:00,1.33234,1.33338,1.33140,1.33196
2018-06-01 13:00:00,1.33198,1.33373,1.32835,1.33137
2018-06-01 14:00:00,1.33136,1.33348,1.33079,1.33194
2018-06-01 15:00:00,1.33195,1.33372,1.33052,1.33297
2018-06-01 16:00:00,1.33298,1.33601,1.33271,1.33561
2018-06-01 17:00:00,1.33559,1.33616,1.33440,1.33470
2018-06-01 18:00:00,1.33476,1.33515,1.33381,1.33411
2018-06-01 19:00:00,1.33412,1.33497,1.33412,1.33460
2018-06-01 20:00:00,1.33459,1.33502,1.33437,1.33482
2018-06-01 21:00:00,1.33481,1.33538,1.33381,1.33381
2018-06-03 22:00:00,1.33420,1.33464,1.33395,1.33439
2018-06-03 23:00:00,1.33441,1.33504,1.33423,1.33504
2018-06-04 00:00:00,1.33504,1.33536,1.33491,1.33523
2018-06-04 01:00:00,1.33522,1.33692,1.33515,1.33670
2018-06-04 02:00:00,1.33670,1.33744,1.33619,1.33744
2018-06-04 03:00:00,1.33742,1.33765,1.33683,1.33698
2018-06-04 04:00:00,1.33698,1.33766,1.33689,1.33735
2018-06-04 05:00:00,1.33736,1.33739,1.33676,1.33713
2018-06-04 06:00:00,1.33712,1.33729,1.33654,1.33669
2018-06-04 07:00:00,1.33667,1.33741,1.33596,1.33604
2018-06-04 08:00:00,1.33604,1.33773,1.33529,1.33579
2018-06-04 09:00:00,1.33578,1.33749,1.33461,1.33662
2018-06-04 10:00:00,1.33661,1.33983,1.33629,1.33875
2018-06-04 11:00:00,1.33872,1.33942,1.33734,1.33860
2018-06-04 12:00:00,1.33860,1.33874,1.33747,1.33867
2018-06-04 13:00:00,1.33866,1.33921,1.33771,1.33795
2018-06-04 14:00:00,1.33795,1.33854,1.33535,1.33611
2018-06-04 15:00:00,1.33618,1.33645,1.33281,1.33315
2018-06-04 16:00:00,1.33315,1.33381,1.32944,1.33142
2018-06-04 17:00:00,1.33140,1.33165,1.33023,1.33126
2018-06-04 18:00:00,1.33129,1.33291,1.33075,1.33291
2018-06-04 19:00:00,1.33291,1.33311,1.33144,1.33157
2018-06-04 20:00:00,1.33159,1.33166,1.33100,1.33129
2018-06-04 21:00:00,1.33127,1.33150,1.33097,1.33116
2018-06-04 22:00:00,1.33104,1.33177,1.33053,1.33146
2018-06-04 23:00:00,1.33149,1.33175,1.33136,1.33144
2018-06-05 00:00:00,1.33147,1.33156,1.33110,1.33156
2018-06-05 01:00:00,1.33157,1.33194,1.33129,1.33134
2018-06-05 02:00:00,1.33139,1.33162,1.33050,1.33139
2018-06-05 03:00:00,1.33142,1.33148,1.33034,1.33071
2018-06-05 04:00:00,1.33070,1.33137,1.33067,1.33101
2018-06-05 05:00:00,1.33101,1.33110,1.33058,1.33080
2018-06-05 06:00:00,1.33084,1.33143,1.33020,1.33142
2018-06-05 07:00:00,1.33144,1.33282,1.33102,1.33272
2018-06-05 08:00:00,1.33271,1.33321,1.33117,1.33219
2018-06-05 09:00:00,1.33221,1.33810,1.33177,1.33740
2018-06-05 10:00:00,1.33740,1.33846,1.33657,1.33801
2018-06-05 11:00:00,1.33803,1.33922,1.33541,1.33583
2018-06-05 12:00:00,1.33586,1.33688,1.33512,1.33577
2018-06-05 13:00:00,1.33576,1.33732,1.33447,1.33725
2018-06-05 14:00:00,1.33726,1.33727,1.33485,1.33559
2018-06-05 15:00:00,1.33549,1.33550,1.33329,1.33400
2018-06-05 16:00:00,1.33406,1.33628,1.33402,1.33589
2018-06-05 17:00:00,1.33588,1.33876,1.33569,1.33813
2018-06-05 18:00:00,1.33815,1.34088,1.33812,1.34038
2018-06-05 19:00:00,1.34039,1.34063,1.33920,1.33925
2018-06-05 20:00:00,1.33926,1.33937,1.33844,1.33894
2018-06-05 21:00:00,1.33892,1.33956,1.33860,1.33860
2018-06-05 22:00:00,1.33863,1.34033,1.33863,1.33996
2018-06-05 23:00:00,1.33994,1.34021,1.33984,1.34017
2018-06-06 00:00:00,1.34017,1.34151,1.33986,1.34061
2018-06-06 01:00:00,1.34059,1.34122,1.34032,1.34080
2018-06-06 02:00:00,1.34081,1.34163,1.34057,1.34088
2018-06-06 03:00:00,1.34088,1.34111,1.34046,1.34068
2018-06-06 04:00:00,1.34068,1.34091,1.34036,1.34089
2018-06-06 05:00:00,1.34088,1.34090,1.33996,1.33996
2018-06-06 06:00:00,1.33998,1.34112,1.33988,1.34080
2018-06-06 07:00:00,1.34079,1.34263,1.34016,1.34028
2018-06-06 08:00:00,1.34029,1.34259,1.33972,1.34209
2018-06-06 09:00:00,1.34211,1.34289,1.34058,1.34090
2018-06-06 10:00:00,1.34091,1.34379,1.34091,1.34281
2018-06-06 11:00:00,1.34279,1.34331,1.34155,1.34165
2018-06-06 12:00:00,1.34163,1.34297,1.34130,1.34197
2018-06-06 13:00:00,1.34196,1.34301,1.34135,1.34160
2018-06-06 14:00:00,1.34158,1.34430,1.34148,1.34353
2018-06-06 15:00:00,1.34357,1.34396,1.34227,1.34273
2018-06-06 16:00:00,1.34275,1.34323,1.34132,1.34281
2018-06-06 17:00:00,1.34282,1.34297,1.34063,1.34106
2018-06-06 18:00:00,1.34106,1.34106,1.34000,1.34042
2018-06-06 19:00:00,1.34041,1.34099,1.33985,1.34097
2018-06-06 20:00:00,1.34096,1.34168,1.34065,1.34095
2018-06-06 21:00:00,1.34093,1.34143,1.34082,1.34090
2018-06-06 22:00:00,1.34093,1.34151,1.34080,1.34137
2018-06-06 23:00:00,1.34140,1.34192,1.34133,1.34191
2018-06-07 00:00:00,1.34191,1.34211,1.34167,1.34196
2018-06-07 01:00:00,1.34196,1.34327,1.34196,1.34312
2018-06-07 02:00:00,1.34314,1.34381,1.34280,1.34281
2018-06-07 03:00:00,1.34282,1.34322,1.34238,1.34250
2018-06-07 04:00:00,1.34250,1.34284,1.34220,1.34239
2018-06-07 05:00:00,1.34239,1.34322,1.34217,1.34309
2018-06-07 06:00:00,1.34308,1.34396,1.34307,1.34376
2018-06-07 07:00:00,1.34379,1.34483,1.34248,1.34421
2018-06-07 08:00:00,1.34419,1.34717,1.34368,1.34681
2018-06-07 09:00:00,1.34680,1.34702,1.34536,1.34583
2018-06-07 10:00:00,1.34581,1.34708,1.34511,1.34532
2018-06-07 11:00:00,1.34533,1.34596,1.34301,1.34486
2018-06-07 12:00:00,1.34488,1.34584,1.33745,1.33972
2018-06-07 13:00:00,1.33969,1.34377,1.33840,1.34192
2018-06-07 14:00:00,1.34191,1.34191,1.33781,1.33868
2018-06-07 15:00:00,1.33867,1.34201,1.33712,1.34176
2018-06-07 16:00:00,1.34172,1.34538,1.34096,1.34259
2018-06-07 17:00:00,1.34257,1.34405,1.34048,1.34123
2018-06-07 18:00:00,1.34121,1.34285,1.34073,1.34224
2018-06-07 19:00:00,1.34224,1.34312,1.34176,1.34252
2018-06-07 20:00:00,1.34255,1.34282,1.34192,1.34202
2018-06-07 21:00:00,1.34200,1.34235,1.34128,1.34194
2018-06-07 22:00:00,1.34190,1.34243,1.34104,1.34158
2018-06-07 23:00:00,1.34160,1.34242,1.34156,1.34214
2018-06-08 00:00:00,1.34214,1.34228,1.34145,1.34161
2018-06-08 01:00:00,1.34163,1.34225,1.34144,1.34194
2018-06-08 02:00:00,1.34197,1.34224,1.34163,1.34197
2018-06-08 03:00:00,1.34197,1.34233,1.34161,1.34196
2018-06-08 04:00:00,1.34196,1.34196,1.34118,1.34155
2018-06-08 05:00:00,1.34156,1.34258,1.34143,1.34252
2018-06-08 06:00:00,1.34250,1.34273,1.34173,1.34244
2018-06-08 07:00:00,1.34241,1.34294,1.34035,1.34155
2018-06-08 08:00:00,1.34157,1.34318,1.34059,1.34316
2018-06-08 09:00:00,1.34311,1.34388,1.33983,1.34046
2018-06-08 10:00:00,1.34045,1.34221,1.34011,1.34148
2018-06-08 11:00:00,1.34150,1.34180,1.33848,1.33898
2018-06-08 12:00:00,1.33898,1.34038,1.33821,1.33942
2018-06-08 13:00:00,1.33944,1.34128,1.33541,1.33641
2018-06-08 14:00:00,1.33641,1.33916,1.33607,1.33804
2018-06-08 15:00:00,1.33799,1.34016,1.33749,1.34015
2018-06-08 16:00:00,1.34014,1.34133,1.33918,1.34049
2018-06-08 17:00:00,1.34048,1.34099,1.33978,1.34097
2018-06-08 18:00:00,1.34099,1.34146,1.34072,1.34097
2018-06-08 19:00:00,1.34097,1.34180,1.34097,1.34115
2018-06-08 20:00:00,1.34114,1.34137,1.34040,1.34048
2018-06-08 21:00:00,1.34047,1.34100,1.33988,1.33988
2018-06-10 22:00:00,1.34115,1.34115,1.34046,1.34051
2018-06-10 23:00:00,1.34058,1.34099,1.34047,1.34051
2018-06-11 00:00:00,1.34052,1.34138,1.34052,1.34128
2018-06-11 01:00:00,1.34126,1.34201,1.34083,1.34187
